co2_metric_tons_per_household,GEOID
3.903,06037534403
3.517,06037534404
3.722,06037534405
4.274,06037534406
4.169,06037534501
3.944,06037534502
4.478,06037534700
3.712,06037534802
3.316,06037534803
3.892,06037534804
3.606,06037534900
3.708,06037535001
3.642,06037535002
3.451,06037535101
3.392,06037535102
3.826,06037535200
3.705,06037535300
3.78,06037535400
3.81,06037535501
3.842,06037535502
3.666,06037535503
3.948,06037535603
4.161,06037535604
3.459,06037535605
3.434,06037535606
4.261,06037535607
4.132,06037535701
3.486,06037535702
3.914,06037535802
3.935,06037535803
4.202,06037535804
3.872,06037535901
4.545,06037535902
3.815,06037536000
3.965,06037536103
4.062,06037536104
4.183,06037536200
4.079,06037540000
4.545,06037540101
4.341,06037540102
3.01,06037540201
3.634,06037540202
3.709,06037540203
4.242,06037540300
4.213,06037540400
4.221,06037540501
3.694,06037540502
3.348,06037540600
3.79,06037540700
3.998,06037540800
3.647,06037540901
3.354,06037540902
3.307,06037541100
3.323,06037541200
3.711,06037541300
3.61,06037541400
3.972,06037541500
3.821,06037541603
3.626,06037541604
3.873,06037541605
3.687,06037541606
4.242,06037541700
